NGC4636       ;  ;      ;     ; ;   1.29; 0.08; ;      ;     ; ;   1.51; 0.08; ;  0.61; 0.05; ;      ;     ; ;       ;     ; ;       ;     ; ;       ;     ;LR   ;32,6            ;
PG1244+026    ;  ;  0.56; 0.12; ;   0.94; 0.04; ;  0.53; 0.05; ;   1.20; 0.06; ;  0.45; 0.16; ;  1.10; 0.13; ;   1.50; 0.09;<;   1.50;     ;<;   2.00;     ;HR+LR;37,43           ;
NGC4696       ;  ;      ;     ; ;   1.33; 0.06; ;      ;     ; ;   0.76; 0.03; ;  0.12; 0.01; ;      ;     ; ;   0.15; 0.01; ;       ;     ; ;       ;     ;LR   ;32              ;
NGC4725       ;  ;  1.38; 0.59; ;   1.20; 0.12;<;  0.38;     ; ;   2.40; 0.24;<;  0.93;     ;<;  0.50;     ; ;   1.80; 0.18; ;   1.77; 0.36; ;   3.99; 0.45;HR   ;26,16,33,12,7   ;
NGC4736       ; <;  5.25;     ; ;   3.74; 0.34;<;  0.12;     ; ;   4.25; 0.07; ;  8.02; 1.07;<;  0.76;     ; ;   2.01; 0.36; ;   6.38; 1.50; ;  20.28; 1.13;HR   ;20,17,33,7      ;
Mrk231        ; <;  2.10;     ; ;  19.67; 1.97;<;  3.00;     ; ;   3.05; 0.61;<;  4.00;     ;<; 18.00;     ;<;   9.50;     ;<;   8.00;     ; ;  16.00; 4.80;HR   ;18,4,46         ;
NGC4826       ; <;  4.09;     ; ; 105.00;10.50;<;  1.30;     ; ;  23.00; 2.30; ; 33.90; 0.30; ;      ;     ; ;   4.30; 0.43; ;  46.10; 0.80; ; 130.40; 1.31;HR   ;26,16,33,7      ;
NGC4922       ;  ;  1.94; 0.27; ;  35.10; 0.51; ;  2.77; 0.31; ;   8.86; 0.32; ; 12.40; 0.34;<;  2.61;     ; ;   5.92; 0.68; ;  20.30; 2.23; ;  32.80; 2.31;HR   ;41              ;
NGC4941       ;  ;  9.06; 0.57; ;  13.50; 0.63; ;  8.21; 0.49; ;  24.80; 0.49; ;  6.27; 0.85; ;  7.27; 0.31; ;  32.80; 0.39; ;   5.79; 0.85; ;  13.40; 1.46;HR+LR;41,11,23,26     ;
NGC4945       ;  ;      ;     ; ; 698.40;60.40; ;  7.06; 0.31; ;  68.10; 2.27; ;      ;     ;<;  2.12;     ; ;  28.35; 1.39; ; 359.60;20.40; ; 732.80; 7.84;HR   ;20,5,26,28      ;
ESO323-G77    ;  ;      ;     ; ;  40.16; 1.41; ;  5.44; 1.61; ;  18.07; 1.07; ;      ;     ; ;  6.19; 0.14; ;  25.11; 0.62; ;       ;     ; ;       ;     ;HR   ;44              ;
NGC5033       ;  ;  2.83; 0.00; ;  13.26; 0.18; ;  0.42; 0.05; ;   5.08; 0.15; ; 14.88; 0.50; ;  0.48; 0.08; ;   5.08; 0.51; ;  17.38; 0.85; ;  45.35; 1.52;HR   ;20,16,12,26,7   ;
IRAS13120-5453;  ;  0.50; 0.10; ; 150.00;15.00; ;  1.71; 0.17; ;  18.46; 1.85; ; 19.18; 1.92;<; 20.00;     ; ;   6.42; 1.28; ;  60.64; 6.06; ; 107.10;10.70;HR   ;18              ;
MCG-03-34-064 ;  ; 52.80; 0.60; ;  56.20; 0.57; ; 62.90; 0.50; ; 119.00; 0.89; ; 27.00; 0.92; ; 38.10; 0.80; ; 115.00; 0.88; ;  17.20; 2.04; ;  24.80; 2.76;HR   ;40,41,30,9      ;
CentaurusA    ;  ; 14.01; 3.55; ; 189.10;17.50; ; 22.00; 2.22; ; 148.00; 6.08; ; 48.50; 2.75; ; 27.10; 2.31; ; 129.00; 7.05; ; 148.80;10.20; ; 285.40; 8.86;HR   ;47              ;
NGC5135       ;  ;  6.07; 0.18; ;  36.70; 5.10; ;  4.88; 0.19; ;  16.70; 0.12; ; 11.40; 2.85; ; 15.20; 0.55; ;  71.30; 0.61; ;  38.30; 3.38; ; 140.00; 1.83;HR   ;41,23,27,26,19  ;
NGC5194       ;  ;      ;     ; ;  17.03; 0.26; ;  0.74; 0.10; ;  10.90; 0.24; ;      ;     ; ;  1.61; 0.11; ;   7.93; 0.25; ;  18.39; 0.81; ;  60.42; 2.08;HR   ;20,12,16,26     ;
MCG-06-30-015 ;  ;  8.42; 0.51; ;   4.98; 0.52; ;  5.01; 0.55; ;   5.88; 0.51; ;  6.48; 0.79; ;  7.37; 0.73; ;  26.00; 0.77; ;   6.51; 1.08; ;   9.26; 1.08;HR+LR;41,44,11        ;
IRAS13342+3932;  ;  2.12; 0.21; ;   5.69; 0.57; ;  3.45; 0.34; ;   4.97; 0.50; ;  2.97; 0.30; ;  4.23; 0.42; ;  10.32; 1.03; ;       ;     ; ;       ;     ;HR+LR;18,43,9         ;
IRAS13349+2438;  ;  9.30; 0.13; ;   4.80; 0.17;<;  0.87;     ; ;   4.21; 0.17;<;  1.62;     ;<;  1.47;     ; ;   7.35; 0.66; ;       ;     ; ;       ;     ;HR   ;42              ;
Mrk266SW      ;  ;  2.87; 1.15; ;  15.57; 1.75; ;  2.11; 0.62; ;   9.96; 0.62; ;  7.85; 1.20; ; 12.31; 0.59; ;  59.13; 1.42; ;  48.73; 2.02; ;  99.60; 4.99;HR   ;47              ;
Mrk273        ;  ;  9.58; 0.96; ;  41.90; 4.19; ; 11.68; 1.17; ;  33.57; 3.36; ; 13.35; 1.33; ; 15.38; 1.54; ;  56.36; 5.64; ;  42.56; 4.26; ;  14.66; 2.90;HR   ;18,4,17,9,46    ;
PKS1345+12    ; <;  0.37;     ; ;   3.60; 0.11;<;  0.45;     ; ;   2.80; 0.25; ;  1.10; 0.21;<;  0.58;     ; ;   2.94; 1.11; ;       ;     ; ;       ;     ;HR   ;43,46,9,21,47   ;
PKS1346+26    ;  ;      ;     ; ;   1.30; 0.03; ;      ;     ; ;   0.56; 0.07; ;      ;     ; ;      ;     ; ;       ;     ; ;       ;     ; ;       ;     ;LR   ;15              ;
