CentaurusA     ;<;461.77;      ; ;  53.34; 10.28; ;  836.43; 25.13; ; 173.47; 6.68; ;  85.15; 2.81; ;  74.39; 2.45; ;1250.00;  9.44;3x3;
NGC5135        ; ;      ;      ; ;       ;      ; ;  141.08;  5.10; ;  57.68; 3.81; ;       ;     ; ;  10.55; 0.57; ; 223.88;  3.87;3x3;
NGC5194        ; ;      ;      ; ;       ;      ; ;  124.68;  6.17; ;       ;     ; ;  85.70; 1.47; ;       ;     ; ; 329.25;  6.75;3x3;
MCG-06-30-015  ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   7.05;  0.36;3x3;
IRAS13342+3932 ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  12.78;  1.57;3x3;
IRAS13349+2438 ; ;      ;      ; ;       ;      ;<;    3.58;      ; ;   4.22; 0.37; ;       ;     ; ;       ;     ; ;   3.76;  0.35;c  ;
Mrk266SW       ; ; 66.75;  9.04; ;       ;      ; ;   96.50;  5.20; ;  82.28; 7.02; ;  15.27; 1.28; ;   9.89; 2.10; ; 161.53;  1.71;3x3;
Mrk273         ; ;      ;      ; ;  13.78;  5.75; ;   50.47;  5.55; ;  33.00; 5.53; ;   8.58; 1.31; ;   6.89; 1.05; ;  72.94;  2.14;c  ;
PKS1345+12     ;<;  1.18;      ;<;   1.75;      ; ;    9.29;  1.17;<;   8.30;     ; ;   0.71; 0.11; ;   0.80; 0.25; ;   6.58;  0.22;c  ;
PKS1346+26     ; ;      ;      ; ;       ;      ; ;    4.35;  1.41;<;   1.94;     ; ;   1.51; 0.32;<;   0.77;     ; ;   4.92;  0.44;3x3;
IC4329A        ; ; 25.94;  5.55; ;   9.45;  2.92; ;   52.77;  3.28; ;  31.95; 1.41; ;   3.51; 0.72; ;   4.23; 0.32; ;  16.16;  0.70;3x3;
3C293          ; ;      ;      ; ;       ;      ; ;   12.11;  3.86; ;       ;     ; ;       ;     ; ;       ;     ; ;       ;      ;3x3;
NGC5347        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  12.93;  0.51;3x3;
Mrk463E        ; ; 45.95;  7.92; ;   9.61;  2.11; ;   49.08;  7.46; ;  39.68; 4.13; ;   2.31; 0.27; ;   1.58; 0.24; ;  31.39;  1.15;3x3;
Circinus       ; ;      ;      ; ; 268.29; 15.32; ; 1884.23; 15.43; ; 565.53; 9.84; ; 299.45; 4.00; ; 169.04; 5.45; ;2256.99; 15.10;3x3;
NGC5506        ; ;101.71; 20.12; ;  30.79;  2.14; ;  163.61;  2.94; ; 102.26; 3.31; ;  14.14; 1.15; ;  13.79; 0.75; ; 120.80;  1.99;3x3;
NGC5548        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  19.61;  0.74;3x3;
Mrk1383        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   3.78;  0.62;3x3;
Mrk478         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   6.75;  0.79;3x3;
NGC5728        ; ; 23.64;  5.26; ;       ;      ; ;   81.61;  2.24; ;  51.99; 3.93; ;  11.54; 1.30; ;   8.71; 0.79; ;  86.95;  1.03;c  ;
3C305          ; ;      ;      ; ;       ;      ; ;   15.88;  3.69; ;       ;     ; ;       ;     ; ;       ;     ; ;  16.50;  0.34;3x3;
IC4518A        ; ;      ;      ; ;       ;      ; ;  100.83;  4.95; ;       ;     ; ;       ;     ; ;       ;     ; ;  94.95;  1.05;3x3;
NGC5793        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ; 107.37;  2.97;3x3;
IRAS15001+1433 ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  10.50;  1.83;3x3;
3C317          ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   2.07;  0.20;3x3;
Mrk848B        ; ;      ;      ; ;       ;      ; ;   87.47;  6.11; ;       ;     ; ;       ;     ; ;       ;     ; ;  87.68;  1.61;3x3;
IRAS15176+5216 ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  15.41;  0.95;3x3;
Arp220         ;<;509.47;      ;<;  37.47;      ; ;   28.46;  7.06;<;  18.63;     ; ;  16.57; 1.87; ;  18.98; 3.54; ; 125.77; 12.96;3x3;
NGC5990        ; ;      ;      ; ;       ;      ; ;   77.26;  2.99; ;  30.27; 3.93; ;       ;     ; ;       ;     ; ; 245.11;  3.51;3x3;
IRAS15462-0450 ; ;  6.40;  2.50; ;   2.55;  1.69; ;   14.44;  2.19; ;       ;     ; ;   0.83; 0.31; ;   0.96; 0.30; ;   9.57;  0.29;c  ;
PKS1549-79     ; ;      ;      ; ;       ;      ; ;    1.95;  0.45; ;       ;     ; ;       ;     ; ;       ;     ; ;   3.77;  0.19;c  ;
Mrk876         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   3.86;  0.86;3x3;
NGC6166        ; ;      ;      ; ;       ;      ;<;    1.92;      ; ;       ;     ;<;   0.86;     ;<;   0.25;     ; ;   1.26;  0.15;3x3;
Mrk883         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  22.85;  0.74;3x3;
NGC6240        ; ; 46.57; 26.39; ;  12.50;  5.86; ;  615.63; 11.06; ;  33.10; 5.57; ;  23.15; 2.22; ;  40.65; 2.80; ; 311.66;  5.45;c  ;
IRAS17208-0014 ; ;      ;      ; ;  11.40;  5.55; ;   35.82; 18.30; ;  27.84;11.80; ;  11.59; 1.47; ;   6.49; 2.19; ; 103.96;  4.48;3x3;
IRAS18216+6418 ; ;      ;      ; ;       ;      ; ;   15.26;  1.88; ;  18.59; 0.69; ;   1.18; 0.20;<;   2.52;     ;<;   1.67;      ;c  ;
Fairall49      ; ;      ;      ; ;   5.75;  0.96; ;   32.93;  2.40; ;  11.53; 1.16; ;   3.96; 0.76; ;   2.03; 0.41; ;  33.91;  0.70;c  ;
ESO103-G35     ; ;      ;      ; ;       ;      ; ;   48.39;  1.81; ;   8.21; 1.35; ;   0.61; 0.06; ;   2.23; 0.10; ;   6.48;  0.30;c  ;
ESO140-G043    ; ;      ;      ; ;       ;      ; ;   22.83;  7.81; ;  13.99; 2.33; ;   1.42; 0.48; ;   1.17; 0.15; ;  19.47;  0.61;3x3;
NGC6786        ; ;      ;      ; ;       ;      ; ;   35.80;  2.33; ;  18.93; 1.64; ;       ;     ; ;       ;     ; ; 114.08;  1.20;3x3;
ESO141-G55     ; ;      ;      ; ;       ;      ; ;    8.65;  1.32; ;   4.20; 0.64; ;       ;     ; ;       ;     ; ;  15.84;  0.48;3x3;
IRAS19254-7245 ;<; 23.93;      ;<;  11.86;      ; ;   14.60;  5.36; ;       ;     ; ;   5.38; 0.78; ;   3.02; 1.10; ;  39.12;  1.29;3x3;
ESO339-G11     ; ;      ;      ; ;       ;      ; ;   78.47;  4.72; ;  31.03; 2.94; ;  20.19; 1.26; ;       ;     ; ; 178.23;  1.74;3x3;
3C405          ; ; 78.58; 15.69; ;   9.49;  3.80; ;  101.61; 12.90; ;  28.04; 1.30; ;   6.80; 0.46; ;       ;     ; ;  32.07;  0.99;3x3;
IRAS20037-1547 ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   9.01;  1.03;3x3;
NGC6860        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  41.60;  1.11;3x3;
MCG+04-48-002  ; ;      ;      ; ;       ;      ; ;  107.93;  7.83; ;  59.30; 4.36; ;  25.79; 2.57; ;       ;     ; ; 318.58;  3.32;3x3;
NGC6926        ; ;      ;      ; ;       ;      ; ;   24.67;  2.79; ;  16.11; 2.61; ;   6.51; 0.99; ;       ;     ; ; 130.31;  1.74;3x3;
Mrk509         ; ;      ;      ; ;       ;      ; ;   30.02;  2.86; ;  19.28; 2.75; ;   1.99; 0.41; ;   2.30; 0.48; ;  36.32;  1.20;3x3;
PKS2048-57     ; ;      ;      ; ;       ;      ; ;   74.92;  3.72; ;       ;     ; ;       ;     ; ;   8.85; 1.82; ;  47.16;  1.10;3x3;
3C433          ; ;      ;      ; ;       ;      ; ;    4.67;  0.85; ;       ;     ; ;       ;     ; ;       ;     ; ;       ;      ;c  ;
IC5135         ; ;      ;      ; ;  22.00;  5.49; ;   99.83;  5.35; ;  19.58; 3.01; ;  34.02; 1.86; ;   8.85; 1.67; ; 225.63;  6.39;3x3;
NGC7172        ; ;      ;      ; ;   6.96;  2.13; ;   19.97;  2.19; ;  14.27; 2.49; ;  11.74; 1.04; ;   3.42; 0.93; ;  74.79;  1.39;c  ;
IRAS22017+0319 ; ;      ;      ; ;       ;      ; ;   12.03;  0.36; ;   6.55; 0.21; ;       ;     ; ;       ;     ; ;  13.62;  1.03;c  ;
NGC7213        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  30.87;  1.24;3x3;
3C445          ; ;      ;      ; ;       ;      ; ;    9.35;  3.05; ;   4.26; 1.27; ;       ;     ; ;       ;     ;<;   3.15;      ;3x3;
ESO602-G25     ; ;      ;      ; ;       ;      ; ;   56.22;  4.29; ;  24.58; 3.97; ;       ;     ; ;       ;     ; ; 140.78;  1.89;3x3;
NGC7314        ; ;      ;      ; ;   5.14;  1.49; ;   22.65;  1.58; ;  18.84; 0.76; ;   3.61; 0.41; ;   2.46; 0.21; ;  45.91;  0.97;3x3;
UGC12138       ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  17.36;  0.73;3x3;
