NGC5548       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  1.37; 0.14; ;3x3;
Mrk1383       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.31; 0.09; ;3x3;
Mrk478        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.72; 0.18; ;3x3;
NGC5728       ;   2.71; 0.19;       ;    ; ;   6.99; 0.13; ;   8.63;0.23; ;   8.63;0.12; ;  7.24;0.10; ;  6.37; 0.13; ;c  ;
3C305         ;       ;     ;       ;    ; ;   0.53; 0.21; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.64; 0.03; ;3x3;
IC4518A       ;       ;     ;       ;    ; ;   4.72; 0.33; ;       ;    ; ;       ;    ; ;      ;    ; ;  4.38; 0.16; ;3x3;
NGC5793       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  7.79; 0.39; ;3x3;
IRAS15001+1433;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.39; 0.26; ;3x3;
3C317         ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ;<;  0.15;     ; ;3x3;
Mrk848B       ;       ;     ;       ;    ; ;   8.53; 0.51; ;       ;    ; ;       ;    ; ;      ;    ; ;  6.08; 0.25; ;3x3;
IRAS15176+5216;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.69; 0.10; ;3x3;
Arp220        ;  99.38; 3.45; 129.95;0.55; ; 141.71; 1.20; ; 135.76;0.61; ; 125.75;0.25; ; 90.86;0.34; ; 82.35; 1.37; ;3x3;
NGC5990       ;       ;     ;       ;    ; ;  10.15; 0.24; ;  15.01;0.34; ;       ;    ; ;      ;    ; ; 14.87; 0.51; ;3x3;
IRAS15462-0450;   2.87; 0.14;   3.01;0.13; ;   2.82; 0.16; ;       ;    ; ;   1.65;0.03; ;  1.48;0.05; ;  1.16; 0.05; ;c  ;
PKS1549-79    ;       ;     ;       ;    ; ;   1.05; 0.07; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.47; 0.02; ;c  ;
Mrk876        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.90; 0.18; ;3x3;
NGC6166       ;       ;     ;       ;    ;<;   0.20;     ; ;       ;    ; ;   0.13;0.02; ;  0.25;0.02; ;  0.16; 0.02; ;3x3;
Mrk883        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.83; 0.13; ;3x3;
NGC6240       ;  15.68; 0.51;  21.95;0.20; ;  23.17; 0.24; ;  23.95;0.31; ;  20.51;0.15; ; 13.90;0.32; ; 13.84; 0.38; ;c  ;
IRAS17208-0014;       ;     ;  36.95;0.27; ;  39.93; 1.07; ;  41.16;1.01; ;  32.93;0.19; ; 24.91;0.35; ; 21.49; 0.47; ;3x3;
IRAS18216+6418;       ;     ;       ;    ; ;   0.42; 0.08; ;   0.58;0.03; ;   0.24;0.02; ;  0.35;0.11; ;  1.17; 0.14; ;c  ;
Fairall49     ;       ;     ;   2.66;0.07; ;   2.76; 0.17; ;   2.99;0.11; ;   2.53;0.09; ;  2.06;0.06; ;  1.97; 0.09; ;c  ;
